id,name,constellation,coord,glon,glat,gal_coord,Vmag,n_Vmag,u_Vmag,spectral_type,spectral_type_full,n_spectral_type,RI,n_RI,BV,u_BV,UB,u_UB,RadVel,RotVel,Parallax,n_Parallax,g_coord_l_rad,g_coord_b_rad,coord_ra_deg,coord_dec_deg
4247, 46    LMi,LMi,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.32791667, 34.215)>",190.0,63.73,"<SkyCoord (Galactic): (l, b) in deg
    (190., 63.73)>",3.83, , ,K,K0+III-IV, ,0.54, ,1.04, ,0.91, ,16.0,19.0,0.024, ,-2.9670597283903604,1.112298332295986,163.32791666666665,34.215
4248, 45Ome UMa,UMa,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.49458333, 43.19)>",171.16,61.35,"<SkyCoord (Galactic): (l, b) in deg
    (171.16, 61.35)>",4.71, , ,A,A1V s, ,-0.04, ,-0.05, ,-0.05, ,-17.0,35.0,0.014, ,2.987305547713494,1.0707594960985212,163.4945833333333,43.19
4249,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.35375, -2.25527778)>",254.18,49.12,"<SkyCoord (Galactic): (l, b) in deg
    (254.18, 49.12)>",6.12, , ,K,K0III+G0V, ,, ,0.9, ,0.61, ,26.0,,, ,-1.8469074144603994,0.8573057285796146,163.35375,-2.2552777777777777
4250,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.12875, -57.24055556)>",287.36,1.99,"<SkyCoord (Galactic): (l, b) in deg
    (287.36, 1.99)>",5.25, , ,B,B9Ia,e,, ,0.16, ,-0.54, ,-24.0,41.0,, ,-1.2678071686486807,0.034732052114687155,163.12875,-57.24055555555556
4251,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.37291667, -20.13888889)>",268.69,34.78,"<SkyCoord (Galactic): (l, b) in deg
    (268.69, 34.78)>",5.24, , ,F,F6V,v,, ,0.47, ,0.06, ,-5.0,14.0,0.054, ,-1.5936601399960224,0.6070255138436278,163.37291666666664,-20.13888888888889
4252,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.38708333, -15.44555556)>",265.5,38.71,"<SkyCoord (Galactic): (l, b) in deg
    (265.5, 38.71)>",6.38, , ,K,K3IV, ,, ,1.16, ,, ,0.0,,, ,-1.6493361431346414,0.675616953447005,163.38708333333332,-15.445555555555556
4253,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.43208333, -2.12916667)>",254.14,49.26,"<SkyCoord (Galactic): (l, b) in deg
    (254.14, 49.26)>",5.45, , ,G,G8III, ,0.33,E,0.96, ,0.77, ,15.0,,, ,-1.8476055461611975,0.8597491895324068,163.43208333333328,-2.129166666666667
4254, 48    LMi,LMi,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.67583333, 25.49083333)>",209.85,63.85,"<SkyCoord (Galactic): (l, b) in deg
    (209.85, 63.85)>",6.2, , ,A,A8V, ,0.16, ,0.28, ,0.12, ,8.0,140.0,, ,-2.6206118718694857,1.1143927273983794,163.67583333333332,25.490833333333335
4255,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.57416667, -13.75805556)>",264.46,40.21,"<SkyCoord (Galactic): (l, b) in deg
    (264.46, 40.21)>",5.66, , ,G,G4III, ,, ,0.83, ,, ,5.0,,, ,-1.6674875673553828,0.7017968922269199,163.57416666666666,-13.758055555555556
4256,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.7425, 34.03472222)>",190.31,64.1,"<SkyCoord (Galactic): (l, b) in deg
    (190.31, 64.1)>",5.72, , ,G,gG7, ,, ,1.01, ,, ,-28.0,,, ,-2.961649207709178,1.1187560505283651,163.74249999999998,34.03472222222222
4257,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.37333333, -58.85333333)>",288.18,0.6,"<SkyCoord (Galactic): (l, b) in deg
    (288.18, 0.6)>",3.78, , ,K,K1III, ,0.49, ,0.95, ,0.65, ,8.0,,0.059, ,-1.2534954687823274,0.010471975511965976,163.3733333333333,-58.85333333333333
